
# time  N22        N23        
    0.        629.4861n  629.4852n 
    3.21000p  610.7528m  130.1161m 
    3.22000p  611.8298m  129.2189m 
    3.23000p  612.9068m  128.3216m 
    3.24000p  613.9838m  127.4243m 
    3.25000p  615.0608m  126.5271m 
    3.26000p  616.1378m  125.6298m 
    3.27000p  617.2148m  124.7326m 
    3.28000p  618.2918m  123.8353m 
    3.29000p  619.3688m  122.9380m 
    3.30000p  620.4458m  122.0408m 
    3.31000p  621.5228m  121.1435m 
    3.32000p  622.5998m  120.2462m 
    3.33000p  623.6768m  119.3490m 
    3.34000p  624.7538m  118.4517m 
    3.35000p  625.8308m  117.5545m 
    3.36000p  626.9078m  116.6572m 
    3.37000p  627.9849m  115.7599m 
    3.38000p  629.0619m  114.8627m 
    3.39000p  630.1389m  113.9654m 
    3.40000p  631.2159m  113.0681m 
    3.41000p  632.2929m  112.1709m 
    3.42000p  633.3699m  111.2736m 
    3.43000p  634.4469m  110.3764m 
    3.44000p  635.5239m  109.4791m 
    3.45000p  636.6009m  108.5818m 
    3.46000p  637.6779m  107.6846m 
    3.47000p  638.7549m  106.7873m 
    3.48000p  639.8319m  105.8900m 
    3.49000p  640.9089m  104.9928m 
    3.50000p  641.9859m  104.0955m 
    3.51000p  643.0629m  103.1982m 
    3.52000p  644.1399m  102.3010m 
    3.53000p  645.2169m  101.4037m 
    3.54000p  646.2939m  100.5065m 
    3.55000p  647.3710m   99.6092m 
    3.56000p  648.4480m   98.7119m 
    3.57000p  649.5250m   97.8147m 
    3.58000p  650.6020m   96.9174m 
    3.59000p  651.4660m   96.0919m 
    3.60000p  652.0684m   95.3544m 
    3.61000p  652.6709m   94.6169m 
    3.62000p  653.2734m   93.8795m 
    3.63000p  653.8758m   93.1420m 
    3.64000p  654.4783m   92.4046m 
    3.65000p  655.0807m   91.6671m 
    3.66000p  655.6832m   90.9296m 
    3.67000p  656.2856m   90.1922m 
    3.68000p  656.8881m   89.4547m 
    3.69000p  657.4906m   88.7173m 
    3.70000p  658.0930m   87.9798m 
    3.71000p  658.6955m   87.2423m 
    3.72000p  659.2979m   86.5049m 
    3.73000p  659.9004m   85.7674m 
    3.74000p  660.5028m   85.0300m 
    3.75000p  661.1053m   84.2925m 
    3.76000p  661.7078m   83.5550m 
    3.77000p  662.3102m   82.8176m 
    3.78000p  662.9127m   82.0801m 
    3.79000p  663.5151m   81.3427m 
    3.80000p  664.1176m   80.6052m 
